,poistion_rank,first_name,last_name,injuryr_status
903,PG3,leandro,bolmaro,active
904,PG5,jordan,mclaughlin,active
905,PG7,mckinley,wright-iv,injured
906,SG2,malik,beasley,active
907,SG4,anthony,edwards,active
908,SG6,jaylen,nowell,active
909,SF1,anthony,edwards,active
910,SF3,taurean,prince,injured
911,SF5,jake,layman,active
912,SF7,leandro,bolmaro,active
913,PF2,jaden,mcdaniels,active
914,PF4,naz,reid,active
915,PF6,josh,okogie,active
916,C1,karl,anthony-towns,active
917,C3,nathan,knight,active
918,C5,greg,monroe,active
919,PG1,devonte',graham,active
920,PG3,tomas,satoransky,active
921,PG5,jared,harper,active
922,PG7,kira,lewis-jr.,active
923,SG2,garrett,temple,active
924,SG4,tomas,satoransky,active
925,SG6,josh,hart,active
926,SG8,didi,louzada,active
927,SF1,josh,hart,active
928,SF3,brandon,ingram,injured
929,SF5,herbert,jones,active
930,SF7,gary,clark,active
931,SF9,didi,louzada,active
932,PF1,herbert,jones,active
933,PF3,brandon,ingram,injured
934,PF5,gary,clark,active
935,PF7,anthony,tolliver,active
936,C1,jonas,valanciunas,active
937,C3,herbert,jones,active
938,C5,anthony,tolliver,active
939,PG1,kemba,walker,injured
940,PG3,miles,mcbride,active
941,PG5,rj,barrett,active
942,PG7,derrick,rose,active
943,SG2,quentin,grimes,active
944,SG4,immanuel,quickley,active
945,SG6,miles,mcbride,active
946,SG8,damyean,dotson,active
947,SG10,derrick,rose,active
948,SF2,alec,burks,active
949,SF4,evan,fournier,active
950,SF6,wayne,selden,active
951,SF8,obi,toppin,active
952,PF2,obi,toppin,active
953,PF4,kevin,knox-ii,active
954,PF6,luka,samanic,active
955,C2,mitchell,robinson,injured
956,C4,julius,randle,active
957,PG1,shai,gilgeous-alexander,injured
958,PG3,ty,jerome,active
959,PG5,josh,giddey,injured
960,PG7,vit,krejci,active
961,SG2,tre,mann,active
962,SG4,luguentz,dort,active
963,SG6,paul,watson,active
964,SG8,rob,edwards,active
965,SF1,josh,giddey,injured
966,SF3,aleksej,pokusevski,active
967,SF5,aaron,wiggins,active
968,SF7,jeremiah,robinson-earl,active
969,SF9,paul,watson,active
970,SF11,scotty,hopson,active
971,PF2,darius,bazley,active
972,PF4,jeremiah,robinson-earl,active
973,PF6,kenrich,williams,active
974,C2,derrick,favors,active
975,C4,isaiah,roby,active
976,C6,olivier,sarr,active
977,PG1,cole,anthony,injured
978,PG3,r.j.,hampton,active
979,PG5,mychal,mulder,injured
980,PG8,markelle,fultz,injured
981,SG1,gary,harris,active
982,SG3,mychal,mulder,injured
983,SG5,cole,anthony,injured
984,SG7,jalen,suggs,active
985,SF1,franz,wagner,active
986,SF3,chuma,okeke,active
987,SF5,mychal,mulder,injured
988,SF7,admiral,schofield,active
989,SF9,michael,carter-williams,active
990,PF1,wendell,carter-jr.,active
991,PF3,moritz,wagner,active
992,PF5,admiral,schofield,active
993,PF7,jonathan,isaac,active
994,C2,wendell,carter-jr.,active
995,C4,freddie,gillespie,active
996,C6,chuma,okeke,active
997,PG1,tyrese,maxey,active
998,PG3,furkan,korkmaz,active
999,PG5,tyler,johnson,active
1000,SG2,furkan,korkmaz,active
1001,SG4,shake,milton,active
1002,SG6,danny,green,active
1003,SG8,jaden,springer,active
1004,SG10,myles,powell,active
1005,SF2,matisse,thybulle,active
1006,SF4,georges,niang,active
1007,SF6,seth,curry,active
1008,PF1,tobias,harris,active
1009,PF3,matisse,thybulle,active
1010,PF5,danny,green,active
1011,C1,joel,embiid,active
1012,C3,charles,bassey,active
1013,PG1,chris,paul,active
1014,PG3,elfrid,payton,active
1015,PG5,landry,shamet,active
1016,SG2,landry,shamet,active
1017,SG4,cameron,payne,active
1018,SF1,mikal,bridges,active
1019,SF3,abdel,nader,active
1020,SF5,jae,crowder,active
1021,SF7,ish,wainright,active
1022,SF9,justin,jackson,active
1023,PF2,cameron,johnson,active
1024,PF4,jalen,smith,active
1025,PF6,ish,wainright,active
1026,PF8,dario,saric,active
1027,PF10,justin,jackson,active
1028,C2,javale,mcgee,active
1029,C4,emanuel,terry,active
1030,C6,dario,saric,active
1031,PG1,damian,lillard,active
1032,PG3,dennis,smith-jr.,active
1033,PG5,brandon,williams,active
1034,SG1,cj,mccollum,active
